Timestamp,Rank,Name,Price,24h Change (%),Market Cap
2025-11-17 22:10:04,1,Bitcoin,93474.47,0.65,86410342202
2025-11-17 22:10:05,2,Ethereum,3098.70,0.71,38396429899
2025-11-17 22:10:05,3,Tether,0.9992,0.01,147917485315
2025-11-17 22:10:06,4,XRP,2.19,2.27,5358922114
2025-11-17 22:10:07,5,BNB,909.94,0.09,3432304584
2025-11-17 22:10:07,6,Solana,135.24,1.54,6520143867
2025-11-17 22:10:08,7,USDC,1.00,0.01,17416057828
2025-11-17 22:10:08,8,TRON,0.2939,0.01,987561300
2025-11-17 22:10:09,9,Dogecoin,0.1580,2.39,2521395827
2025-11-17 22:10:09,10,Cardano,0.4763,0.44,1232130124
